Date,Confirmed,New,Recovered,Deaths,Active
2020-03-08T00:00:00Z,1,1,0,0,1
2020-03-09T00:00:00Z,1,0,0,0,1
2020-03-10T00:00:00Z,1,0,0,0,1
2020-03-11T00:00:00Z,5,4,0,0,5
2020-03-12T00:00:00Z,5,0,0,0,5
2020-03-13T00:00:00Z,6,1,0,0,6
2020-03-14T00:00:00Z,6,0,0,0,6
2020-03-15T00:00:00Z,6,0,0,0,6
2020-03-16T00:00:00Z,8,2,0,0,8
2020-03-17T00:00:00Z,9,1,0,0,9
2020-03-18T00:00:00Z,11,2,0,0,11
2020-03-19T00:00:00Z,11,0,0,0,11
2020-03-20T00:00:00Z,13,2,0,0,13
2020-03-21T00:00:00Z,18,5,0,1,17
2020-03-22T00:00:00Z,22,4,0,1,21
2020-03-23T00:00:00Z,22,0,0,1,21
2020-03-24T00:00:00Z,27,5,0,2,25
2020-03-25T00:00:00Z,37,10,0,3,34
2020-03-26T00:00:00Z,41,4,0,3,38
2020-03-27T00:00:00Z,52,11,1,3,48
2020-03-28T00:00:00Z,56,4,1,3,52
2020-03-29T00:00:00Z,59,3,1,3,55
2020-03-30T00:00:00Z,64,5,1,3,60
2020-03-31T00:00:00Z,65,1,1,3,61
2020-04-01T00:00:00Z,69,4,1,3,65
2020-04-02T00:00:00Z,77,8,2,3,72
2020-04-03T00:00:00Z,92,15,6,3,83
2020-04-04T00:00:00Z,96,4,12,3,81
2020-04-05T00:00:00Z,104,8,12,3,89
2020-04-06T00:00:00Z,113,9,12,5,96
2020-04-07T00:00:00Z,115,2,15,5,95
2020-04-08T00:00:00Z,119,4,15,5,99
2020-04-09T00:00:00Z,124,5,18,5,101
2020-04-10T00:00:00Z,129,5,18,6,105
2020-04-11T00:00:00Z,133,4,18,6,109
2020-04-12T00:00:00Z,134,1,22,6,106
2020-04-13T00:00:00Z,147,13,22,6,119
2020-04-14T00:00:00Z,159,12,22,7,130
2020-04-15T00:00:00Z,161,2,23,8,130
2020-04-16T00:00:00Z,174,13,30,8,136
2020-04-17T00:00:00Z,199,25,30,8,161
2020-04-18T00:00:00Z,202,3,35,8,159
2020-04-19T00:00:00Z,206,4,41,8,157
2020-04-20T00:00:00Z,208,2,46,8,154
2020-04-21T00:00:00Z,208,0,53,8,147
2020-04-22T00:00:00Z,213,5,62,9,142
2020-04-23T00:00:00Z,213,0,67,9,137
2020-04-24T00:00:00Z,223,10,78,9,136
2020-04-25T00:00:00Z,228,5,85,9,134
2020-04-26T00:00:00Z,228,0,85,9,134
2020-04-27T00:00:00Z,228,0,93,9,126
2020-04-28T00:00:00Z,239,11,102,9,128
2020-04-29T00:00:00Z,239,0,102,9,128
2020-04-30T00:00:00Z,266,27,113,10,143
2020-05-01T00:00:00Z,333,67,115,10,208
2020-05-02T00:00:00Z,370,37,119,10,241
2020-05-03T00:00:00Z,396,26,126,10,260
2020-05-04T00:00:00Z,415,19,130,10,275
2020-05-05T00:00:00Z,431,16,135,10,286
2020-05-06T00:00:00Z,440,9,142,10,288
2020-05-07T00:00:00Z,462,22,148,10,304
2020-05-08T00:00:00Z,563,101,152,10,401
2020-05-09T00:00:00Z,689,126,155,10,524
2020-05-10T00:00:00Z,713,24,165,10,538
2020-05-11T00:00:00Z,724,11,170,10,544
2020-05-12T00:00:00Z,737,13,173,10,554
2020-05-13T00:00:00Z,740,3,182,11,547
2020-05-14T00:00:00Z,754,14,184,11,559
2020-05-15T00:00:00Z,759,5,193,11,555
2020-05-16T00:00:00Z,778,19,198,11,569
2020-05-17T00:00:00Z,786,8,202,11,573
2020-05-18T00:00:00Z,788,2,219,11,558
2020-05-19T00:00:00Z,829,41,230,11,588
2020-05-20T00:00:00Z,833,4,242,11,580
2020-05-21T00:00:00Z,836,3,256,11,569
2020-05-22T00:00:00Z,838,2,264,11,563
2020-05-23T00:00:00Z,850,12,298,11,541
2020-05-24T00:00:00Z,862,12,307,11,544
2020-05-25T00:00:00Z,865,3,344,11,510
2020-05-26T00:00:00Z,877,12,382,11,484
2020-05-27T00:00:00Z,884,7,392,11,481
2020-05-28T00:00:00Z,900,16,402,11,487
2020-05-29T00:00:00Z,917,17,413,11,493
