Date,Confirmed,New,Recovered,Deaths,Active
2020-03-03T00:00:00Z,1,1,0,0,1
2020-03-04T00:00:00Z,1,0,0,0,1
2020-03-05T00:00:00Z,1,0,0,0,1
2020-03-06T00:00:00Z,2,1,0,0,2
2020-03-07T00:00:00Z,8,6,0,0,8
2020-03-08T00:00:00Z,12,4,0,1,11
2020-03-09T00:00:00Z,12,0,0,1,11
2020-03-10T00:00:00Z,17,5,0,1,16
2020-03-11T00:00:00Z,19,2,0,1,18
2020-03-12T00:00:00Z,19,0,0,1,18
2020-03-13T00:00:00Z,31,12,0,2,29
2020-03-14T00:00:00Z,34,3,1,2,31
2020-03-15T00:00:00Z,45,11,1,2,42
2020-03-16T00:00:00Z,56,11,1,2,53
2020-03-17T00:00:00Z,68,12,3,2,63
2020-03-18T00:00:00Z,79,11,3,2,74
2020-03-19T00:00:00Z,97,18,3,3,91
2020-03-20T00:00:00Z,128,31,3,3,122
2020-03-21T00:00:00Z,158,30,3,4,151
2020-03-22T00:00:00Z,266,108,3,4,259
2020-03-23T00:00:00Z,301,35,3,4,294
2020-03-24T00:00:00Z,387,86,52,6,329
2020-03-25T00:00:00Z,387,0,52,8,327
2020-03-26T00:00:00Z,502,115,63,9,430
2020-03-27T00:00:00Z,589,87,72,13,504
2020-03-28T00:00:00Z,690,101,72,18,600
2020-03-29T00:00:00Z,745,55,72,19,654
2020-03-30T00:00:00Z,820,75,228,23,569
2020-03-31T00:00:00Z,1054,234,240,27,787
2020-04-01T00:00:00Z,1054,0,248,28,778
2020-04-02T00:00:00Z,1133,79,256,36,841
2020-04-03T00:00:00Z,1265,132,266,39,960
2020-04-04T00:00:00Z,1451,186,279,43,1129
2020-04-05T00:00:00Z,1451,0,280,44,1127
2020-04-06T00:00:00Z,1554,103,325,48,1181
2020-04-07T00:00:00Z,1628,74,338,56,1234
2020-04-08T00:00:00Z,1715,87,358,63,1294
2020-04-09T00:00:00Z,1795,80,365,72,1358
2020-04-10T00:00:00Z,1975,180,375,82,1518
2020-04-11T00:00:00Z,1975,0,440,83,1452
2020-04-12T00:00:00Z,2142,167,468,90,1584
2020-04-13T00:00:00Z,2208,66,515,97,1596
2020-04-14T00:00:00Z,2277,69,559,102,1616
2020-04-15T00:00:00Z,2443,166,596,111,1736
2020-04-16T00:00:00Z,2571,128,631,115,1825
2020-04-17T00:00:00Z,2669,98,666,123,1880
2020-04-18T00:00:00Z,2758,89,685,129,1944
2020-04-19T00:00:00Z,2839,81,709,132,1998
2020-04-20T00:00:00Z,2941,102,737,136,2068
2020-04-21T00:00:00Z,3031,90,840,147,2044
2020-04-22T00:00:00Z,3144,113,872,152,2120
2020-04-23T00:00:00Z,3435,291,919,165,2351
2020-04-24T00:00:00Z,3607,172,976,176,2455
2020-04-25T00:00:00Z,3780,173,1030,185,2565
2020-04-26T00:00:00Z,3892,112,1107,192,2593
2020-04-27T00:00:00Z,4003,111,1140,197,2666
2020-04-28T00:00:00Z,4127,124,1162,207,2758
2020-04-29T00:00:00Z,4285,158,1192,214,2879
2020-04-30T00:00:00Z,4428,143,1256,218,2954
2020-05-01T00:00:00Z,4532,104,1292,225,3015
2020-05-02T00:00:00Z,4681,149,1320,237,3124
2020-05-03T00:00:00Z,4783,102,1354,246,3183
2020-05-04T00:00:00Z,4887,104,1442,260,3185
2020-05-05T00:00:00Z,5020,133,1472,264,3284
2020-05-06T00:00:00Z,5208,188,1524,273,3411
2020-05-07T00:00:00Z,5371,163,1601,282,3488
2020-05-08T00:00:00Z,5611,240,1659,293,3659
2020-05-09T00:00:00Z,5776,165,1728,300,3748
2020-05-10T00:00:00Z,6034,258,1757,305,3972
2020-05-11T00:00:00Z,6278,244,1837,314,4127
2020-05-12T00:00:00Z,6563,285,1862,319,4382
2020-05-13T00:00:00Z,6879,316,2266,329,4284
2020-05-14T00:00:00Z,7134,255,2385,353,4396
2020-05-15T00:00:00Z,7479,345,2497,356,4626
2020-05-16T00:00:00Z,7805,326,2534,363,4908
2020-05-17T00:00:00Z,8068,263,2569,373,5126
2020-05-18T00:00:00Z,8371,303,2625,382,5364
2020-05-19T00:00:00Z,8809,438,2872,393,5544
2020-05-20T00:00:00Z,9283,474,2933,403,5947
2020-05-21T00:00:00Z,9931,648,3032,416,6483
2020-05-22T00:00:00Z,10649,718,3062,433,7154
2020-05-23T00:00:00Z,11353,704,3530,445,7378
2020-05-24T00:00:00Z,12076,723,3732,452,7892
