Date,Confirmed,New,Recovered,Deaths,Active
2020-03-03T00:00:00Z,1,1,0,0,1
2020-03-04T00:00:00Z,1,0,0,0,1
2020-03-05T00:00:00Z,4,3,0,0,4
2020-03-06T00:00:00Z,4,0,0,0,4
2020-03-07T00:00:00Z,4,0,0,0,4
2020-03-08T00:00:00Z,8,4,0,0,8
2020-03-09T00:00:00Z,8,0,0,0,8
2020-03-10T00:00:00Z,13,5,0,0,13
2020-03-11T00:00:00Z,23,10,0,0,23
2020-03-12T00:00:00Z,23,0,0,0,23
2020-03-13T00:00:00Z,43,20,0,0,43
2020-03-14T00:00:00Z,61,18,0,0,61
2020-03-15T00:00:00Z,74,13,0,0,74
2020-03-16T00:00:00Z,155,81,0,0,155
2020-03-17T00:00:00Z,201,46,0,0,201
2020-03-18T00:00:00Z,238,37,0,0,238
2020-03-19T00:00:00Z,238,0,0,0,238
2020-03-20T00:00:00Z,434,196,6,0,428
2020-03-21T00:00:00Z,537,103,6,0,531
2020-03-22T00:00:00Z,632,95,8,1,623
2020-03-23T00:00:00Z,746,114,8,2,736
2020-03-24T00:00:00Z,922,176,17,2,903
2020-03-25T00:00:00Z,1142,220,22,3,1117
2020-03-26T00:00:00Z,1306,164,22,4,1280
2020-03-27T00:00:00Z,1610,304,43,5,1562
2020-03-28T00:00:00Z,1909,299,61,6,1842
2020-03-29T00:00:00Z,2139,230,75,7,2057
2020-03-30T00:00:00Z,2449,310,156,8,2285
2020-03-31T00:00:00Z,2738,289,156,12,2570
2020-04-01T00:00:00Z,3031,293,234,16,2781
2020-04-02T00:00:00Z,3404,373,335,18,3051
2020-04-03T00:00:00Z,3737,333,427,22,3288
2020-04-04T00:00:00Z,4161,424,528,27,3606
2020-04-05T00:00:00Z,4471,310,618,34,3819
2020-04-06T00:00:00Z,4815,344,728,37,4050
2020-04-07T00:00:00Z,5116,301,898,43,4175
2020-04-08T00:00:00Z,5546,430,1115,48,4383
2020-04-09T00:00:00Z,5972,426,1274,57,4641
2020-04-10T00:00:00Z,6501,529,1571,65,4865
2020-04-11T00:00:00Z,6927,426,1864,73,4990
2020-04-12T00:00:00Z,7213,286,2059,80,5074
2020-04-13T00:00:00Z,7525,312,2367,82,5076
2020-04-14T00:00:00Z,7917,392,2646,92,5179
2020-04-15T00:00:00Z,8273,356,2937,94,5242
2020-04-16T00:00:00Z,8807,534,3299,105,5403
2020-04-17T00:00:00Z,9252,445,3621,116,5515
2020-04-18T00:00:00Z,9730,478,4035,126,5569
2020-04-19T00:00:00Z,10088,358,4338,133,5617
2020-04-20T00:00:00Z,10507,419,4676,139,5692
2020-04-21T00:00:00Z,10832,325,4969,147,5716
2020-04-22T00:00:00Z,11296,464,5386,160,5750
2020-04-23T00:00:00Z,11812,516,5804,168,5840
2020-04-24T00:00:00Z,12306,494,6327,174,5805
2020-04-25T00:00:00Z,12858,552,6746,181,5931
2020-04-26T00:00:00Z,13331,473,7024,189,6118
2020-04-27T00:00:00Z,13813,482,7327,198,6288
2020-04-28T00:00:00Z,14365,552,7710,207,6448
2020-04-29T00:00:00Z,14885,520,8057,216,6612
2020-04-30T00:00:00Z,16023,1138,8580,227,7216
2020-05-01T00:00:00Z,17008,985,9018,234,7756
2020-05-02T00:00:00Z,18435,1427,9572,247,8616
2020-05-03T00:00:00Z,19663,1228,10041,260,9362
2020-05-04T00:00:00Z,20643,980,10415,270,9958
2020-05-05T00:00:00Z,22016,1373,10710,275,11031
2020-05-06T00:00:00Z,23048,1032,11189,281,11578
2020-05-07T00:00:00Z,24581,1533,11664,285,12632
2020-05-08T00:00:00Z,25972,1391,12160,294,13518
2020-05-09T00:00:00Z,27219,1247,12667,304,14248
2020-05-10T00:00:00Z,28866,1647,13112,312,15442
2020-05-11T00:00:00Z,30063,1197,13605,323,16135
2020-05-12T00:00:00Z,31721,1658,14125,335,17261
2020-05-13T00:00:00Z,34381,2660,14865,346,19170
2020-05-14T00:00:00Z,37040,2659,15655,368,21017
2020-05-15T00:00:00Z,39542,2502,16614,394,22534
2020-05-16T00:00:00Z,41428,1886,18014,421,22993
2020-05-17T00:00:00Z,43781,2353,19213,450,24118
2020-05-18T00:00:00Z,46059,2278,20165,478,25416
2020-05-19T00:00:00Z,49579,3520,21507,509,27563
2020-05-20T00:00:00Z,53617,4038,22504,544,30569
2020-05-21T00:00:00Z,57581,3964,23992,589,33000
2020-05-22T00:00:00Z,61857,4276,25342,630,35885
2020-05-23T00:00:00Z,65393,3536,26546,673,38174
2020-05-24T00:00:00Z,69102,3709,28148,718,40236
2020-05-25T00:00:00Z,73997,4895,29302,761,43934
2020-05-26T00:00:00Z,77961,3964,30915,806,46240
2020-05-27T00:00:00Z,82289,4328,33540,841,47908
2020-05-28T00:00:00Z,86943,4654,36115,890,49938
2020-05-29T00:00:00Z,90638,3695,38598,944,51096
