Date,Confirmed,New,Recovered,Deaths,Active
2020-01-27T00:00:00Z,1,1,0,0,1
2020-01-28T00:00:00Z,4,3,0,0,4
2020-01-29T00:00:00Z,4,0,0,0,4
2020-01-30T00:00:00Z,4,0,0,0,4
2020-01-31T00:00:00Z,5,1,0,0,5
2020-02-01T00:00:00Z,8,3,0,0,8
2020-02-02T00:00:00Z,10,2,0,0,10
2020-02-03T00:00:00Z,12,2,0,0,12
2020-02-04T00:00:00Z,12,0,0,0,12
2020-02-05T00:00:00Z,12,0,0,0,12
2020-02-06T00:00:00Z,12,0,0,0,12
2020-02-07T00:00:00Z,13,1,0,0,13
2020-02-08T00:00:00Z,13,0,0,0,13
2020-02-09T00:00:00Z,14,1,0,0,14
2020-02-10T00:00:00Z,14,0,0,0,14
2020-02-11T00:00:00Z,16,2,0,0,16
2020-02-12T00:00:00Z,16,0,0,0,16
2020-02-13T00:00:00Z,16,0,1,0,15
2020-02-14T00:00:00Z,16,0,1,0,15
2020-02-15T00:00:00Z,16,0,1,0,15
2020-02-16T00:00:00Z,16,0,1,0,15
2020-02-17T00:00:00Z,16,0,1,0,15
2020-02-18T00:00:00Z,16,0,12,0,4
2020-02-19T00:00:00Z,16,0,12,0,4
2020-02-20T00:00:00Z,16,0,12,0,4
2020-02-21T00:00:00Z,16,0,14,0,2
2020-02-22T00:00:00Z,16,0,14,0,2
2020-02-23T00:00:00Z,16,0,14,0,2
2020-02-24T00:00:00Z,16,0,14,0,2
2020-02-25T00:00:00Z,17,1,14,0,3
2020-02-26T00:00:00Z,27,10,15,0,12
2020-02-27T00:00:00Z,46,19,16,0,30
2020-02-28T00:00:00Z,48,2,16,0,32
2020-02-29T00:00:00Z,79,31,16,0,63
2020-03-01T00:00:00Z,130,51,16,0,114
2020-03-02T00:00:00Z,159,29,16,0,143
2020-03-03T00:00:00Z,196,37,16,0,180
2020-03-04T00:00:00Z,262,66,16,0,246
2020-03-05T00:00:00Z,482,220,16,0,466
2020-03-06T00:00:00Z,670,188,17,0,653
2020-03-07T00:00:00Z,799,129,18,0,781
2020-03-08T00:00:00Z,1040,241,18,0,1022
2020-03-09T00:00:00Z,1176,136,18,2,1156
2020-03-10T00:00:00Z,1457,281,18,2,1437
2020-03-11T00:00:00Z,1908,451,25,3,1880
2020-03-12T00:00:00Z,2078,170,25,3,2050
2020-03-13T00:00:00Z,3675,1597,46,7,3622
2020-03-14T00:00:00Z,4585,910,46,9,4530
2020-03-15T00:00:00Z,5795,1210,46,11,5738
2020-03-16T00:00:00Z,7272,1477,67,17,7188
2020-03-17T00:00:00Z,9257,1985,67,24,9166
2020-03-18T00:00:00Z,12327,3070,105,28,12194
2020-03-19T00:00:00Z,15320,2993,113,44,15163
2020-03-20T00:00:00Z,19848,4528,180,67,19601
2020-03-21T00:00:00Z,22213,2365,233,84,21896
2020-03-22T00:00:00Z,24873,2660,266,94,24513
2020-03-23T00:00:00Z,29056,4183,266,123,28667
2020-03-24T00:00:00Z,32986,3930,3243,157,29586
2020-03-25T00:00:00Z,37323,4337,3547,206,33570
2020-03-26T00:00:00Z,43938,6615,5673,267,37998
2020-03-27T00:00:00Z,50871,6933,6658,342,43871
2020-03-28T00:00:00Z,57695,6824,8481,433,48781
2020-03-29T00:00:00Z,62095,4400,9211,533,52351
2020-03-30T00:00:00Z,66885,4790,13500,645,52740
2020-03-31T00:00:00Z,71808,4923,16100,775,54933
2020-04-01T00:00:00Z,77872,6064,18700,920,58252
2020-04-02T00:00:00Z,84794,6922,22440,1107,61247
2020-04-03T00:00:00Z,91159,6365,24575,1275,65309
2020-04-04T00:00:00Z,96092,4933,26400,1444,68248
2020-04-05T00:00:00Z,100123,4031,28700,1584,69839
2020-04-06T00:00:00Z,103374,3251,28700,1810,72864
2020-04-07T00:00:00Z,107663,4289,36081,2016,69566
2020-04-08T00:00:00Z,113296,5633,46300,2349,64647
2020-04-09T00:00:00Z,118181,4885,52407,2607,63167
2020-04-10T00:00:00Z,122171,3990,53913,2767,65491
2020-04-11T00:00:00Z,124908,2737,57400,2736,64772
2020-04-12T00:00:00Z,127854,2946,60300,3022,64532
2020-04-13T00:00:00Z,130072,2218,64300,3194,62578
2020-04-14T00:00:00Z,131359,1287,68200,3294,59865
2020-04-15T00:00:00Z,134753,3394,72600,3804,58349
2020-04-16T00:00:00Z,137698,2945,77000,4052,56646
2020-04-17T00:00:00Z,141397,3699,83114,4352,53931
2020-04-18T00:00:00Z,143342,1945,85400,4459,53483
2020-04-19T00:00:00Z,145184,1842,88000,4586,52598
2020-04-20T00:00:00Z,147065,1881,91500,4862,50703
2020-04-21T00:00:00Z,148291,1226,95200,5033,48058
2020-04-22T00:00:00Z,150648,2357,99400,5279,45969
2020-04-23T00:00:00Z,153129,2481,103300,5575,44254
2020-04-24T00:00:00Z,154999,1870,109800,5760,39439
2020-04-25T00:00:00Z,156513,1514,109800,5877,40836
2020-04-26T00:00:00Z,157770,1257,112000,5976,39794
2020-04-27T00:00:00Z,158758,988,114500,6126,38132
2020-04-28T00:00:00Z,159912,1154,117400,6314,36198
2020-04-29T00:00:00Z,161539,1627,120400,6467,34672
2020-04-30T00:00:00Z,163009,1470,123500,6623,32886
2020-05-01T00:00:00Z,164077,1068,126900,6736,30441
2020-05-02T00:00:00Z,164967,890,129000,6812,29155
2020-05-03T00:00:00Z,165664,697,130600,6866,28198
2020-05-04T00:00:00Z,166152,488,132700,6993,26459
2020-05-05T00:00:00Z,167007,855,135100,6993,24914
2020-05-06T00:00:00Z,168162,1155,139900,7275,20987
2020-05-07T00:00:00Z,169430,1268,141700,7392,20338
2020-05-08T00:00:00Z,170588,1158,141700,7510,21378
2020-05-09T00:00:00Z,171324,736,143300,7549,20475
2020-05-10T00:00:00Z,171879,555,144400,7569,19910
2020-05-11T00:00:00Z,172576,697,145617,7661,19298
2020-05-12T00:00:00Z,173171,595,147200,7738,18233
2020-05-13T00:00:00Z,174098,927,148700,7861,17537
2020-05-14T00:00:00Z,174478,380,150300,7884,16294
2020-05-15T00:00:00Z,175233,755,151597,7897,15739
2020-05-16T00:00:00Z,175752,519,152600,7938,15214
2020-05-17T00:00:00Z,176369,617,154011,7962,14396
2020-05-18T00:00:00Z,176551,182,155041,8003,13507
2020-05-19T00:00:00Z,177778,1227,155681,8081,14016
2020-05-20T00:00:00Z,178473,695,156966,8144,13363
2020-05-21T00:00:00Z,179021,548,158087,8203,12731
2020-05-22T00:00:00Z,179710,689,159064,8228,12418
2020-05-23T00:00:00Z,179986,276,159716,8261,12009
2020-05-24T00:00:00Z,180328,342,160281,8283,11764
2020-05-25T00:00:00Z,180600,272,161199,8309,11092
2020-05-26T00:00:00Z,181200,600,161967,8372,10861
2020-05-27T00:00:00Z,181524,324,162820,8428,10276
