Date,Confirmed,New,Recovered,Deaths,Active
2020-01-22T00:00:00Z,1,1,0,0,1
2020-01-23T00:00:00Z,1,0,0,0,1
2020-01-24T00:00:00Z,2,1,0,0,2
2020-01-25T00:00:00Z,2,0,0,0,2
2020-01-26T00:00:00Z,5,3,0,0,5
2020-01-27T00:00:00Z,5,0,0,0,5
2020-01-28T00:00:00Z,5,0,0,0,5
2020-01-29T00:00:00Z,5,0,0,0,5
2020-01-30T00:00:00Z,5,0,0,0,5
2020-01-31T00:00:00Z,7,2,0,0,7
2020-02-01T00:00:00Z,8,1,0,0,8
2020-02-02T00:00:00Z,8,0,0,0,8
2020-02-03T00:00:00Z,11,3,0,0,11
2020-02-04T00:00:00Z,11,0,0,0,11
2020-02-05T00:00:00Z,11,0,0,0,11
2020-02-06T00:00:00Z,11,0,0,0,11
2020-02-07T00:00:00Z,11,0,0,0,11
2020-02-08T00:00:00Z,11,0,0,0,11
2020-02-09T00:00:00Z,11,0,3,0,8
2020-02-10T00:00:00Z,11,0,3,0,8
2020-02-11T00:00:00Z,12,1,3,0,9
2020-02-12T00:00:00Z,12,0,3,0,9
2020-02-13T00:00:00Z,13,1,3,0,10
2020-02-14T00:00:00Z,13,0,3,0,10
2020-02-15T00:00:00Z,13,0,3,0,10
2020-02-16T00:00:00Z,13,0,3,0,10
2020-02-17T00:00:00Z,13,0,3,0,10
2020-02-18T00:00:00Z,13,0,3,0,10
2020-02-19T00:00:00Z,13,0,3,0,10
2020-02-20T00:00:00Z,13,0,3,0,10
2020-02-21T00:00:00Z,15,2,5,0,10
2020-02-22T00:00:00Z,15,0,5,0,10
2020-02-23T00:00:00Z,15,0,5,0,10
2020-02-24T00:00:00Z,51,36,5,0,46
2020-02-25T00:00:00Z,51,0,6,0,45
2020-02-26T00:00:00Z,57,6,6,0,51
2020-02-27T00:00:00Z,58,1,6,0,52
2020-02-28T00:00:00Z,60,2,7,0,53
2020-02-29T00:00:00Z,68,8,7,1,60
2020-03-01T00:00:00Z,74,6,7,1,66
2020-03-02T00:00:00Z,98,24,7,6,85
2020-03-03T00:00:00Z,118,20,7,7,104
2020-03-04T00:00:00Z,149,31,7,11,131
2020-03-05T00:00:00Z,217,68,7,12,198
2020-03-06T00:00:00Z,262,45,7,14,241
2020-03-07T00:00:00Z,402,140,7,17,378
2020-03-08T00:00:00Z,518,116,7,21,490
2020-03-09T00:00:00Z,583,65,7,22,554
2020-03-10T00:00:00Z,959,376,8,28,923
2020-03-11T00:00:00Z,1281,322,8,36,1237
2020-03-12T00:00:00Z,1663,382,12,41,1610
2020-03-13T00:00:00Z,2179,516,12,49,2118
2020-03-14T00:00:00Z,2727,548,12,58,2657
2020-03-15T00:00:00Z,3499,772,12,73,3414
2020-03-16T00:00:00Z,4632,1133,17,99,4516
2020-03-17T00:00:00Z,6421,1789,17,133,6271
2020-03-18T00:00:00Z,7783,1362,105,164,7514
2020-03-19T00:00:00Z,13747,5964,121,258,13368
2020-03-20T00:00:00Z,19273,5526,147,349,18777
2020-03-21T00:00:00Z,25600,6327,176,442,24982
2020-03-22T00:00:00Z,33276,7676,178,586,32512
2020-03-23T00:00:00Z,43843,10567,178,786,42879
2020-03-24T00:00:00Z,53736,9893,348,1008,52380
2020-03-25T00:00:00Z,65778,12042,361,1316,64101
2020-03-26T00:00:00Z,83836,18058,681,1726,81429
2020-03-27T00:00:00Z,101657,17821,869,2265,98523
2020-03-28T00:00:00Z,121465,19808,1072,2731,117662
2020-03-29T00:00:00Z,140909,19444,2665,3420,134824
2020-03-30T00:00:00Z,161831,20922,5644,4192,151995
2020-03-31T00:00:00Z,188172,26341,7024,5367,175781
2020-04-01T00:00:00Z,213242,25070,8474,6501,198267
2020-04-02T00:00:00Z,243622,30380,9001,7921,226700
2020-04-03T00:00:00Z,275367,31745,9707,9246,256414
