Date,Confirmed,New,Recovered,Deaths,Active
2020-03-14T00:00:00Z,4,4,0,0,4
2020-03-15T00:00:00Z,4,0,0,0,4
2020-03-16T00:00:00Z,8,4,0,0,8
2020-03-17T00:00:00Z,29,21,0,0,29
2020-03-18T00:00:00Z,50,21,0,0,50
2020-03-19T00:00:00Z,79,29,0,0,79
2020-03-20T00:00:00Z,94,15,0,0,94
2020-03-21T00:00:00Z,110,16,0,0,110
2020-03-22T00:00:00Z,158,48,0,0,158
2020-03-23T00:00:00Z,162,4,0,0,162
2020-03-24T00:00:00Z,162,0,0,0,162
2020-03-25T00:00:00Z,189,27,0,0,189
2020-03-26T00:00:00Z,217,28,0,0,217
2020-03-27T00:00:00Z,238,21,0,0,238
2020-03-28T00:00:00Z,274,36,0,0,274
2020-03-29T00:00:00Z,304,30,0,1,303
2020-03-30T00:00:00Z,310,6,0,1,309
2020-03-31T00:00:00Z,338,28,41,1,296
2020-04-01T00:00:00Z,338,0,41,2,295
2020-04-02T00:00:00Z,350,12,62,4,284
2020-04-03T00:00:00Z,369,19,68,4,297
2020-04-04T00:00:00Z,400,31,93,5,302
2020-04-05T00:00:00Z,400,0,93,5,302
2020-04-06T00:00:00Z,406,6,104,6,296
2020-04-07T00:00:00Z,424,18,150,7,267
2020-04-08T00:00:00Z,424,0,150,7,267
2020-04-09T00:00:00Z,456,32,192,7,257
2020-04-10T00:00:00Z,473,17,206,7,260
2020-04-11T00:00:00Z,494,21,214,7,273
2020-04-12T00:00:00Z,480,-14,231,7,242
2020-04-13T00:00:00Z,480,0,231,8,241
2020-04-14T00:00:00Z,483,3,248,8,227
2020-04-15T00:00:00Z,492,9,260,8,224
2020-04-16T00:00:00Z,502,10,286,9,207
2020-04-17T00:00:00Z,502,0,286,9,207
2020-04-18T00:00:00Z,508,6,294,9,205
2020-04-19T00:00:00Z,517,9,298,10,209
2020-04-20T00:00:00Z,535,18,313,10,212
2020-04-21T00:00:00Z,535,0,313,11,211
2020-04-22T00:00:00Z,543,8,324,12,207
2020-04-23T00:00:00Z,557,14,354,12,191
2020-04-24T00:00:00Z,563,6,369,12,182
2020-04-25T00:00:00Z,596,33,370,14,212
2020-04-26T00:00:00Z,606,10,375,15,216
2020-04-27T00:00:00Z,620,14,386,15,219
2020-04-28T00:00:00Z,625,5,394,15,216
2020-04-29T00:00:00Z,630,5,412,15,203
2020-04-30T00:00:00Z,643,13,417,17,209
2020-05-01T00:00:00Z,648,5,435,17,196
2020-05-02T00:00:00Z,652,4,440,17,195
2020-05-03T00:00:00Z,655,3,442,17,196
2020-05-04T00:00:00Z,657,2,447,17,193
2020-05-05T00:00:00Z,670,13,468,17,185
2020-05-06T00:00:00Z,673,3,486,17,170
2020-05-07T00:00:00Z,684,11,492,17,175
2020-05-08T00:00:00Z,694,10,506,18,170
2020-05-09T00:00:00Z,702,8,513,18,171
2020-05-10T00:00:00Z,707,5,517,19,171
2020-05-11T00:00:00Z,711,4,523,19,169
2020-05-12T00:00:00Z,717,6,532,19,166
2020-05-13T00:00:00Z,719,2,545,19,155
2020-05-14T00:00:00Z,724,5,547,19,158
2020-05-15T00:00:00Z,732,8,553,19,160
2020-05-16T00:00:00Z,733,1,558,19,156
2020-05-17T00:00:00Z,734,1,564,20,150
2020-05-18T00:00:00Z,737,3,569,20,148
2020-05-19T00:00:00Z,738,1,579,20,139
2020-05-20T00:00:00Z,746,8,588,20,138
2020-05-21T00:00:00Z,749,3,594,20,135
2020-05-22T00:00:00Z,753,4,603,20,130
2020-05-23T00:00:00Z,764,11,616,22,126
2020-05-24T00:00:00Z,769,5,618,22,129
2020-05-25T00:00:00Z,787,18,629,22,136
2020-05-26T00:00:00Z,789,2,638,22,129
2020-05-27T00:00:00Z,803,14,650,22,131
2020-05-28T00:00:00Z,811,8,654,22,135
2020-05-29T00:00:00Z,816,5,680,22,114
